ID's,Image Links,Title,Duration,Price Category,Group Type,Activity Type,Trip Overview,Highlights,Included,Excluded,Live Tour Guide Languages,Old Price,Actual Price,Free Cancellation
528281,https://cdn.getyourguide.com/img/tour/54143ab3cde6d8ee.jpeg/132.webp,From Delhi: Private 3-Day Golden Triangle Tour with Hotels,3 days,per person,Private group,Multi-day trip,"Embark on a private 3-day Golden Triangle Tour from Delhi with included hotel accommodation. Discover the cultural gems of Delhi, Agra, and Jaipur, featuring iconic landmarks like the Taj Mahal.","See the Qutub Minar, Humayun Tomb, India Gate, Lotus Temple in New DelhiView the breathtaking Taj Mahal and explore Agra Fort in AgraVisit Amber Fort, City Palace, Jal Mahal, Hawa Mahal, Jantar Mantar in JaipurListen as your guide tells you all about the rich history and culture","Hotel pickup and drop-offPrivate tour2 nights accommodation (if option selected)Transportation by private, air-conditioned vehiclePrivate guide at all sitesRickshaw ride in Old DelhiDaily breakfast at hotels (if accommodation booked)Battery bus ride to the Taj MahalBottles of mineral water during the drives",Entry feesLunch and dinnerTips,"English, Spanish, French, German, Russian, Hindi, Portuguese, Japanese, Italian"," ₹27,000","₹9,520",Cancel up to 24 hours in advance for a full refund
445328,https://cdn.getyourguide.com/img/tour/105557b29f3f91572205a4972293bbfccabf05781a0dab8de5ad8cecb0312b0f.jpg/132.webp,From Delhi: 3-Day Private Golden Triangle Tour with Hotels,3 days,per person,Private group,Multi-day trip,"Explore India's Golden Triangle on a 3-day tour of Delhi, Agra and Jaipur. Visit the Taj Mahal, Amer Fort, Fatehpur Sikri, and Qutub Minar, uncovering India's rich cultural diversity.","Utilize three days to utilize the highlights of the Golden Triangle TourExpertise in the Taj Mahal's splendid splendor, empowered as World Heritage SiteFeel a step roaring in time with the glorious Mughal and Rajputana architectureNavigate for an excursion containing breakfast and residing insteadIndividual interest and flexibility of tour guide are implied on private tour","Hotel or airport pickup and drop-off includedAir-conditioned private car for all transfers and sightseeingAn endless supply of water bottlesPersonal live tour guide in Jaipur, Agra, and DelhiHotel lodging for 2 nights in a hotel (If option chosen)Breakfast in the hotel in the morning (If option chosen)",FoodEntry feesParking costsTips,"English, French, German, Hindi, Japanese, Spanish, Russian"," ₹33,000","₹8,425",Cancel up to 24 hours in advance for a full refund
444248,https://cdn.getyourguide.com/img/tour/dcdd51e3facd1e7bead8a323bc8041db9b12efeb040c805474865e76dd801d2f.jpg/132.webp,From Delhi: 2-Day Taj Mahal Sunrise Tour with Fatehpur Sikri,2 days,per person,Small group,Multi-day trip,"Experience the beauty of Agra Fort, Baby Taj, and the Taj Mahal at both sunrise and sunset. Opt for a hotel stay and spend the second day exploring the UNESCO World Heritage Site of Fatehpur Sikri.","Experience the Taj Mahal's grandeur at sunrise an iconic symbol of enduring loveExplore Agra Fort, witness the Baby Taj, and enjoy sunset views at Mehtab BaghDiscover the UNESCO-listed ""ghost town"" of Fatehpur Sikri during a guided tourEnjoy India's rich history through architectural wonders and cultural gemsGet seamless transfers for a hassle-free journey from Delhi to Agra and back","Hotel or airport pick-up and drop-offAll transfers and sightseeing provided in an air-conditioned private carInclusive of car, driver, and fuel cost for a seamless journeyToll tax, parking, and driver allowance included in the packageStay hydrated with unlimited water bottles during your tourBenefit from insights with a live professional tour guide1-night hotel stay on a single/double basis (if option chosen)Enjoy a complimentary morning breakfast in the hotel (applicable only with the hotel option chosen)","Meals except breakfast, Laundry, phone calls, monument feestips and personal expenses","English, French, Spanish, Russian, German, Japanese, Hindi"," ₹11,000","₹5,500",Cancel up to 24 hours in advance for a full refund
625446,https://cdn.getyourguide.com/img/tour/faf8c53a81bd56dab543d4bf6522556adce425e2609841b928683fbd32ed70a5.jpg/132.webp,From Delhi: 3-Day Golden Triangle Tour with Agra and Jaipur,3 days,per person,Private group,Multi-day trip,"Explore the highlights of the Golden Triangle on a 3-day tour from Delhi. Visit the Taj Mahal, Agra Fort, Amber Fort, and more. Get the benefits of Hotel Accomodation, Pick-up & Drop-off service.","Discover the highlights of Old and New Delhi on a guided sightseeing tourVisit the iconic Taj Mahal and Agra Fort on a guided tour of AgraExplore the Amber Fort, City Palace, and Hawa Mahal in JaipurSee the Jal Mahal, Jantar Mantar, and Panna Meena Ka Kund in JaipurEnjoy the convenience of hotel pick-up and drop-off in Delhi",Pick-up and drop-off at your hotel or the Delhi AirportTransportation by air-conditioned vehicle2 Night Hotel Accomodation (If Option Selected)Breakfast at Hotel (If Hotel booked with us)Professional tour guide for all SightseeingTuk Tuk Ride For Taj Mahal from ParkingBottled water in CarAll taxes and ChargesFuel Surcharges,Meals and drinksEntrance fees to monumentsTip to Guide and Driver,"English, French, German, Spanish, Italian, Japanese, Chinese, Russian, Portuguese, Hindi"," ₹13,000","₹7,800",Cancel up to 24 hours in advance for a full refund
554624,https://cdn.getyourguide.com/img/tour/0497abdf27452df3f52c993e04f5bb80d2d724a983ef2c3a100bbda584e23cdc.jpeg/132.webp,Explore 3-Day Golden Triangle Tour with Hotels from Delhi,3 days,per person,Private group,Multi-day trip,"Explore 3-day Golden Triangle tour with Hotels from Delhi with a private car and driver. You will experience the Taj Mahal at sunrise, as well as various other prominent monuments of Agra and Jaipur.","See the Qutub Minar, Humayun Tomb, India Gate, Lotus Temple in New DelhiView the breathtaking Taj Mahal and explore Agra Fort in AgraVisit Amber Fort, City Palace, Jal Mahal, Hawa Mahal, Jantar Mantar in JaipurListen as your guide tells you all about the rich history and culture","2 nights' accommodation (if option selected)Daily hotel breakfastTransportation by private, air-conditioned carAll sightseeing with private local guidesBattery bus ride to and from the Taj Mahal parking lot up to the Taj MahalFuel surchargeAll taxes and service chargesAll applicable hotel taxesHotel or airport pickup and drop-offBottles of mineral water during car journeysPersonal care and attention",GratuitiesEntrance fees to monumentsLunchDinner,"English, Spanish, French, German, Russian, Hindi, Japanese, Portuguese"," ₹27,000","₹14,000",Cancel up to 24 hours in advance for a full refund
364130,https://cdn.getyourguide.com/img/tour/47487d1e952de583531215923d0747ae7572b3bbab0434a779214fd400db8786.jpeg/132.webp,From Delhi: Private 4-Day Golden Triangle Tour with Pickup,4 days,per person,Private group,Multi-day trip,"Visit 3 major cities of India on this private 4-day Golden Triangle tour. Enjoy a personal tour guide, private air-conditioned transportation, and optional accommodation with included breakfasts.","Visit Old and New Delhi and experience a real rickshaw ride.Explore iconic sights like the unforgettable Taj Mahal and Agra Fort.Experience the royal lifestyle of Maharaja at the City Palace and Amer Fort.Discover 3 major cities of India on private tour with a personal guide.Visit Fatehpur Sikri, Abhaneri and Galtaji Temple while drive to Jaipur.",Private 4 Days TourPrivate air-conditioned vehiclePick-up & drop off at hotelsAll sightseeing with local Tour guidesE-Vehicle ride to & from the Taj Mahal parking.3 nights accommodation (if option selected)Breakfast at the hotels (if option Selected)Bottles of mineral waterFuel surcharge,Entry tickets (Approx 80 USD)Meals and drinksTips,"English, French, Russian, Spanish, Japanese, German, Italian, Chinese, Hindi, Portuguese, Arabic"," ₹15,000","₹10,200",Cancel up to 24 hours in advance for a full refund
532034,https://cdn.getyourguide.com/img/tour/eb2f538fe147c73c11e11a5f4b863b1cc2f678b1a339cce42adf665c56af8606.jpeg/132.webp,From Delhi: Private 4-Day Golden Triangle Luxury Tour,4 days,per person,Private group,Multi-day trip,"Visit the great cities of India’s famous Golden Triangle on a private tour from Delhi. See the most magnificent monuments of Delhi, Agra, and Jaipur and make unforgettable memories.","Step back in time and explore the historic cities of Delhi, Agra and Jaipur StayStay in luxury hotels in the great cities of the Golden TriangleVisit the beautiful Palace of the Winds and hilltop Amber FortAdmire most beautiful sunrise Taj MahalCustomize your itinerary in each city as per your own interests","Private tour3 nights accommodation (if option chosen)Transportation by private, air-conditioned vehicleAll sightseeing with private local guidesDaily breakfast at the hotelsBattery bus ride to and from the Taj Mahal parkingFuel surchargeAll taxes and service chargesAll applicable hotel taxesPick-up and drop off at hotels, the airport or railway stationBottles of mineral water during the journeysPersonal care and attention",Optional gratuitiesEntrance fees (approximately $60)Lunch and dinner,"English, Spanish, Japanese, Hindi, French"," ₹25,000","₹25,000",Cancel up to 24 hours in advance for a full refund
558526,https://cdn.getyourguide.com/img/tour/f2ecc0e2b75e9261.jpeg/132.webp,5 Days Golden Traingle Tour with Breakfast & local Guide,5 days,per person,Small group,Multi-day trip,"Explore a 5-day Golden Triangle itinerary that includes breakfast at hotel and comfortable air-conditioned transport. Golden Triangle Tours cover three major cities of India Delhi, Agra and Jaipur.","Humayun's Tomb is a UNESCO World Heritage Site, definitely explore it.Also visit the Taj Mahal and Agra Fort, built by the Mughal emperors.Hawa Mahal is a striking pink sandstone structure with its uniqe honeycomb shapeQutub Minar is one of the tallest minarets in the world with a height of 239feetDelhi Agra And Jaipur Tour In A Comfortable Transport With Local Guide",4 nights accommodation inMeals: Daily breakfast at the hotel.Sightseeing by air-conditioned VehicleDestination Local Tour GuideBottle to drink fresh water while travelingAll taxes and parking charges.,Monument Entry FeeGratuities,"English, French, German, Hindi, Japanese, Russian, Spanish, Urdu, Italian, Chinese"," ₹7,250","₹7,250",Cancel up to 24 hours in advance for a full refund
465169,https://cdn.getyourguide.com/img/tour/a322b3659874cabc5dc9226babf8154a4b3efd3ae22feb8ee8cdf1dc932798f1.jpeg/132.webp,"From Delhi: Private Tour to Delhi, Agra and Jaipur By Car",3 days,per person,Private group,Multi-day trip,"Experiencing the most famous sites in India can be done on an exclusive 3-day tour of the Golden Triangle. The Delhi, Agra, and Jaipur tourist routes are often referred to as the ""Golden Triangle.""","Explore Agra's wonders: Breathtaking Taj Mahal and historic Agra FortDiscover Jaipur's gems: Amber Fort, City Palace, Hawa Mahal, and moreVisit Delhi's renowned sites: Lotus Temple, India Gate, Qutub Minar, and othersOpt for an upgrade for a seamlessly convenient and enhanced stay, complete withPick an upgrade to enjoy an exceptional and enhanced accommodation and breakfast","Hotel or airport pickup and drop-offAll transfers and sightseeing in an air-conditioned private carIncludes toll tax, parking, and driver's allowanceComplimentary unlimited water bottlesPersonal live tour guide2-Nights hotel accommodation on single, double, twin, or triple sharing (based on the chosen option)Morning breakfast (if any hotel option chosen)","Excluded: meals (excluding breakfast), monument fees, laundry, phone calls, tips, and any additional personal expenses.","English, French, Spanish, Russian, German, Japanese, Hindi"," ₹15,648","₹7,824",Cancel up to 24 hours in advance for a full refund
480104,https://cdn.getyourguide.com/img/tour/649857dbc01d5.jpeg/132.webp,"From Delhi :Private 3 Day Delhi,Agra,Jaipur Tour",3 days,per person,Private group,Multi-day trip,"Explore the Best of North India in this 3 day Tour of New Delhi ,Agra and Jaipur from New Delhi.The Tour Includes Accommodation in 3 star Hotel ,Entrance of Monuments and Private air conditioner Car",Private TourAccomodation in 3 star Category HotelPrivate Guide in each cityBuffet Breakfast in HotelPrivate Aircondetioned Car,Private Air Conditioned CarEnglish Speaking DriverAll Fuel Toll and parking charges during the tourPrivate Guide in Each CityAccomodation in 3 star Hotel (if option chosen ) on Twin Sharing BasisSkip The Line Entrance of Monuments (If Option Chosen )Buffet Breakfast (if option chosen )Sight seeing as per the itineraryBattery Bus in Taj Mahal,Lunch or DinnerGratuitiesMendatory X mas and New Year Gala Dinner to be paid at the Hotel Directly .,"English, German, Hindi, Russian, Spanish, French, Bengali, Bihari"," ₹14,600","₹14,600",Cancel up to 24 hours in advance for a full refund
